extension,symbol,n,class1,class2,unsure,notes
py,sklearn.ensemble,94,model,,,
r,horseshoe,78,model,,y,
r,bayesglm,72,model,,,
do,r,68,model,interp,y,
do,regress,66,model,,,
r,glmnet,56,model,,,
py,sklearn.svm,52,model,,,
r,predict,49,model,interp,,
py,sklearn.tree,46,model,,,
r,prediction,40,model,interp,,
r,fit,38,model,,y,
do,reg,33,model,,,
py,sklearn.naive_bayes,33,model,,,
py,sklearn.neighbors,31,model,,,
r,randomforest,30,model,,,
r,performance,28,model,interp,,
r,importance,26,model,interp,,
r,coefficients,24,model,interp,,
r,s,23,model,,,
py,sklearn.decomposition,21,model,,,
py,sklearn.gaussian_process,19,model,,,
r,traincontrol,16,model,,,
py,sklearn.cross_validation,15,model,sele,y,
py,models,14,model,,,
r,rpart,14,model,,,
py,sklearn.neural_network,13,model,,,
r,cforest_unbiased,12,model,,,
do,probit,11,model,,,
r,caretmodelspec,10,model,,y,
py,xgboost,8,model,,,
r,ctree,8,model,,,
do,twoway,7,model,,y,this is anova right?
r,gam,7,model,,,
py,sklearn.kernel_ridge,6,model,,,
r,effect,5,model,interp,,
r,mlr,5,model,,,
r,twoclasssummary,5,model,interp,,
do,invlogit,4,model,,,
py,h2o,4,model,,,
py,sklearn.cluster,4,model,,,
py,sklearn.gaussian_process.kernels,4,model,,,
r,ctree_control,4,model,,,
r,family,4,model,,y,
r,rocr,4,model,interp,,
r,tune.control,4,model,,,
r,xgboost,4,model,,,
do,c,3,model,,y,
do,estimates,3,model,interp,,
py,predict,3,model,interp,,
py,sklearn.metrics.scorer,3,model,,,
py,svd,3,model,,,
r,cforest,3,model,,,
r,fitted,3,model,interp,,
r,gbm,3,model,,,
r,party,3,model,,,
r,predict.train,3,model,interp,,
r,proximity,3,model,,,
r,svm,3,model,,,
r,varimpplot,3,model,interp,,
py,h2o.estimators.gbm,2,model,,,
py,h2o.estimators.random_forest,2,model,,,
py,model_selection,2,model,interp,y,
py,scipy.optimize,2,model,,,
py,sklearn.discriminant_analysis,2,model,,,
py,sklearn.grid_search,2,model,sele,,
py,sklearn.mixture,2,model,,,
py,tensorflow,2,model,,,
py,tobit_regression,2,model,,,
r,betareg,2,model,,,
r,chol,2,model,,y,
r,knn,2,model,,,
r,nnet,2,model,,,
r,polywog,2,model,,,
r,solve,2,model,,y,
r,spikeslab,2,model,,,
r,tree,2,model,,,
r,tune.randomforest,2,model,,,
do,corr,1,model,,,
do,dydx,1,model,interp,,
do,logistic,1,model,,,
py,lime,1,model,interp,,
py,lime.lime_tabular,1,model,interp,,
py,lm,1,model,,,
py,models.neural_network,1,model,,,
py,models.neural_network.neural_network,1,model,,,
py,sklearn.kernel_approximation,1,model,,y,
py,sklearn.manifold,1,model,,y,
py,sklearn.random_projection,1,model,,,
py,sklearn.semi_supervised,1,model,,,
r,bootpolywog,1,model,,,
r,coef,1,model,interp,,
r,cubist,1,model,,,
r,cv.spikeslab,1,model,,,
r,cvgam,1,model,sele,,
r,cvlm,1,model,sele,,
r,gpls,1,model,,,
r,leaps,1,model,,,
r,lmer,1,model,,,
r,lmercontrol,1,model,,,
r,naivebayes,1,model,,,
r,optimx,1,model,,,
r,pls,1,model,,,
r,predict.gam,1,model,interp,,
r,predictors,1,model,interp,,
r,rms,1,model,interp,,
r,sbrl,1,model,,,
r,treebagfuncs,1,model,,,
r,tune,1,model,,y,
r,tune.rpart,1,model,,,
r,tune.svm,1,model,,,
r,varimp,1,model,interp,,
do,m,67,prep,merg,y,
py,size,53,prep,summ,y,
do,use,46,prep,sys,,
py,dump,42,prep,sys,,
py,replace,41,prep,feat,,
py,ix,39,prep,subs,,
do,la,38,prep,sys,,
py,_get_numeric_data,38,prep,subs,,
py,std,38,prep,oper,,
do,keep,37,prep,subs,,
py,savetxt,36,prep,sys,,
py,arange,35,prep,,,
py,select_dtypes,34,prep,subs,,
do,set,30,prep,sys,,
py,le,30,prep,oper,,
py,mask,28,prep,impu,y,
py,var,28,prep,oper,,
py,flatten,25,prep,,,
py,full,25,prep,,,
py,item,25,prep,,,
py,items,24,prep,,,
py,delete,23,prep,subs,,
py,value_counts,23,prep,summ,,
py,update,22,unkn,,y,
py,ravel,21,prep,,,
